# EDA calibration coefficients — shifted Michaelis-Menten model (fit on raw samples)
# Forward : Raw = Rmax * max(G-G0,0) / (max(G-G0,0) + K)
# Inverse : G   = G0 + K * Raw / (Rmax - Raw)
# G0_std / K_std  : curve_fit covariance on all raw samples
# sigma_raw       : mean ADC noise floor across resistance conditions [ADC]
# G_min / G_max   : conductance at RAW thresholds [µS]
# sigma_G_*       : measurement uncertainty at G_min, G_mid, G_max [µS]
# S_*             : sensitivity dRAW/dG at G_min, G_mid, G_max [ADC/µS]
# res_*           : resolution sigma_raw/S at G_min, G_mid, G_max [µS]
# NOTE: *_min/mid/max refer to position on G axis, not metric magnitude
#       S is highest at G_min (steep); resolution is best at G_min (low res_min value)
DAC,G0,G0_std,K,K_std,Rmax,R2,RMSE,RMSE_cond,cov_G0K,N_fit,sigma_raw,status,G_min,G_max,sigma_G_min,sigma_G_mid,sigma_G_max,S_min,S_mid,S_max,res_min,res_mid,res_max
136.0,0.019071310174130503,1.4742813287940827e-05,0.019483264764658503,1.3373842039982581e-05,8547336.84,0.9860854369775752,183041.0349509145,180727.44963005607,-1.5732810806806407e-10,133200,13177.775085135136,OK,0.0198,0.1072,0.000448,0.004489,0.012731,408446250.24,40774129.02,14377294.86,3.2e-05,0.000323,0.000917
137.0,0.02305937516386375,1.6149914129930935e-05,0.02380673520230255,1.5527313758341203e-05,8547336.84,0.9870850921825696,181272.35928749084,177546.00028284037,-1.967358185387818e-10,142200,13572.935208860757,OK,0.0239,0.1308,0.000542,0.005432,0.015406,334269540.44,33369260.61,11766277.06,4.1e-05,0.000407,0.001154
138.0,0.027906816178035816,1.8682467934542383e-05,0.028891317359320556,1.8778567798124055e-05,8547336.84,0.9871976871371797,185218.39524120747,180597.49787438233,-2.7297524084749494e-10,145800,14228.434230864197,OK,0.029,0.1586,0.000672,0.006736,0.019103,275441453.1,27496605.34,9695530.28,5.2e-05,0.000517,0.001468
139.0,0.034811328923161036,2.2662969400903562e-05,0.035474286356848364,2.479925373086717e-05,8547336.84,0.9858149591329062,204746.78573941218,195642.62971815068,-4.328106816289349e-10,149400,20749.0761686747,OK,0.0361,0.1953,0.000913,0.009143,0.025929,224327738.56,22394055.88,7896329.18,9.2e-05,0.000927,0.002628
140.0,0.04212687499841336,3.201537531488986e-05,0.04334038837041174,2.9286451541517132e-05,8547336.84,0.9860184933505898,181533.9542385506,175192.4112063375,-7.50171601479568e-10,154800,17514.885122093026,OK,0.0437,0.2382,0.000989,0.009904,0.028087,183613177.79,18329626.96,6463177.95,9.5e-05,0.000956,0.00271
141.0,0.05257262172530241,3.2679429088447746e-05,0.05383949147233567,3.383679976554009e-05,8547336.84,0.9872512194249528,182985.31021913973,180434.02081471926,-8.489303476770664e-10,165600,13538.885672826089,OK,0.0545,0.2961,0.001238,0.012401,0.03517,147807236.25,14755212.75,5202809.96,9.2e-05,0.000918,0.002602
142.0,0.06489764959145412,3.554839942562039e-05,0.0664703554099308,4.117739954167953e-05,8547336.84,0.9870801576995615,196150.93894191337,194419.65539532303,-1.0605539133818534e-09,162000,12840.596296666667,OK,0.0673,0.3656,0.001638,0.016412,0.046546,119720533.86,11951390.15,4214158.94,0.000107,0.001074,0.003047
143.0,0.08160816772470726,4.2434095028711795e-05,0.08311125760395688,5.2916554062054964e-05,8547336.84,0.9872525381470725,205185.2553959593,204600.45983315445,-1.6273986677494066e-09,163800,8345.026798901099,OK,0.0846,0.4576,0.002143,0.021466,0.060879,95749561.07,9558430.16,3370381.47,8.7e-05,0.000873,0.002476
144.0,0.09988749222210212,4.7444742919379236e-05,0.1027599375943858,6.562614634210922e-05,8547336.84,0.9869944417915264,217397.48903728282,216380.57015229666,-2.14941437067869e-09,171000,10113.026983157895,OK,0.1036,0.5648,0.002807,0.028121,0.079752,77441331.92,7730767.16,2725932.39,0.000131,0.001308,0.00371
145.0,0.12544021272197317,7.154585679270939e-05,0.13017797220355443,8.698268439756461e-05,8547336.84,0.9860247953542254,212628.49685096703,209291.07136740818,-4.566500386932343e-09,163800,13012.420463736264,OK,0.1302,0.7144,0.003478,0.034843,0.098814,61130668.28,6102515.95,2151797.56,0.000213,0.002132,0.006047
